transaction_id,transaction_date,market,region_city,channel_type,channel_subtype,retailer_id,retailer_name,brand,product_line,pack_size_ml,unit_price_local,currency,quantity_sold,gross_revenue_local,trade_spend_local,promo_flag,stockout_flag,competitor_present_flag,distribution_points_nearby,sales_rep_id,payment_method,consumer_segment,data_source
TXN112595,2023-05-30,Ghanna,,formal,Pharmacy,GH-PHA-1407,Goodlife Pharmacy,Cantu,Sachet Multi-pack,60,11.63,GHS,8,93.04,?,N,N,--,13,REP-GH-345,mobile_money,Middle Income,POS System
TXN111629,11-10-2024, Nigeria,Port Harcourt,In-formal,Open-Air Market,NG-OPE-3879,Kejetia Market Stand,amila,Sachet,15,66.49,NGN,7,465.43,22.09,Y,FALSE,1,27,REP-NG-399,CASH,Upper-Middle Income,POS System
TXN110607,2024-02-06, Kenya,Kisumu,In-formal,Kiosk,KE-KIO-2372,Mama Ngozi Kiosk,TRESemme,Sachet,10,21.85,KES,3,65.55,1.62,0,False,No,17,REP-KE-387,Card,Middle Income,POS System
TXN109588,24.07.24,Ngeria,Kano,Formal ,Supermarket,NG-SUP-8925,Palm Mall,Generic Local,Sachet Multi-pack,75,56.58,NGN,1,56.58,1.88,False,0,FALSE,,REP-NG-135,Momo,Lower-Middle Income,POS System
TXN106913,15-Feb-2024,Ghana,Tamale,formal,Convenience Store,GH-CON-5923,  QuickBuy  ,Garnier,Bottle,340,25.64,GHS,4,102.56,,0,NA,FALSE,29,REP-GH-343,CARD,Lower-Middle Income,Distributor Report
TXN108495,"September 22, 2023",nigeria,Onitsha,Formal,Supermarket,NG-SUP-9122,Melcom,Generic Local,Sachet Multi-pack,100,138.14,NGN,3,414.42,-,Y,FALSE,no,39,REP-NG-193,Cash,Upper-Middle Income,POS System
TXN104097,2024-01-04,KE,Nakuru,In-formal,Market Stall,KE-MAR-4436,Makola Stall 22,garnier,Sachet,25,unknown,KES,10,96.5,0.0,false,False,False,20,REP-KE-226,cash ,Lower-Middle Income,POS System
TXN106544,2023-12-13,Kenya,  Nakuru  ,Informal ,Market Stall,KE-MAR-4253,Iya Basira Stall,Sunsilk,Sachet Multi-pack,100,37.54,KES,7,262.78,0.0,0,false,1,32,REP-KE-160,cash,Lower-Middle Income,Distributor Report
TXN109372,2024-11-03,NG,Port Harcourt,FORMAL,Supermarket,NG-SUP-2408,Game Stores,Garnier ,Sachet Multi-pack,60,125.39,NGN,3,376.17,26.38,0,NO,TRUE,24,REP-NG-155,Credit,NULL,Distributor Report
TXN102609,07/03/2023, Nigeria,Onitsha,Informal,Kiosk,NG-KIO-3433,Kwik Stop,cantu,Sachet,10,92.99,NGN,8,743.92,N/A,FALSE,Yes,no,N/A,REP-NG-466,?,NULL,
TXN106509,2023-06-11,nigeria,Benin City,Formal ,Convenience Store,NG-CON-4558,Zucchini Express,Garnier ,Sachet,10,36.19,NGN,1000,108.57,4.4,Y,false,Y,37,REP-NG-216,Credit,Middle Income,POS System
TXN107533,2024-11-03,GH,Tamale,Informal,Open-Air Market,GH-OPE-7697,Balogun Market Vendor,amila,Sachet,25,4.57,GHS,9,41.13,0.61,Y,yes,False,34,REP-GH-145,Cash,Lower-Middle Income,POS System
TXN102249,29/08/2023,KE,Mombasa,FORMAL,Pharmacy,KE-PHA-3878,MedPlus,SUNSILK,Sachet,20,16.9,KES,1,16.9,unknown,False,No,FALSE,44,REP-KE-468,mobile money,Lower-Middle Income,Distributor Report
TXN104551,2024-01-06, Ghana,Tamale,Formal,Mini-Mart,GH-MIN-6029,EasyBuy Mart,Tresemmé,Sachet,25,4.42,GHS,2,8.84,0.53,Y,No,true,8,REP-GH-362,mobile_money,Middle Income,POS System
TXN105956,2024-08-26,KENYA,Thika,INFORMAL,Kiosk,KE-KIO-7174,Blessing Stores,Motions,Sachet,20,13.78,GHS,8,110.24,3.28,False,no,TRUE,45,REP-KE-404,mobile_money,Middle Income,POS System
TXN110937,25/02/2023,KENYA,Eldoret,Informal,Kiosk,KE-KIO-7940,  Blessing Stores  ,Garnier ,Bottle,200,40.33,KES,5,201.65,16.94,NO,0,NO,41,REP-KE-169,CASH,Lower-Middle Income,Field Survey
TXN109893,2024-09-11,Ghanna,Unknown,formal,Supermarket,GH-SUP-6109,  ShopRite  ,Sun silk,Sachet,10,1.86,GHS,2,3.72,0.26,N,false,YES,16,REP-GH-340,Card,N/A,POS System
TXN114766,2024-02-14,NIGERIA,Lagos,In-formal,Wholesaler,NG-WHO-1435,Coastal Distributors Ltd,Amila,Bottle,200,306.28,NGN,7,2143.96,120.06,False,0,false,17,REP-NG-127,Trade Credit,Low Income,POS System
TXN114983,2023-12-16,nigeria,Onitsha,Formal ,Pharmacy,NG-PHA-3668,HealthPlus Pharmacy,Dark & Lovely,Sachet Multi-pack,100,117.13,NGN,2,234.26,15.18,false,no,0,unknown,REP-NG-184,Cash,Lower-Middle Income,POS System
TXN114946,2023-08-13,NG,Benin City ,Formal ,Convenience Store,NG-CON-2105,QuickBuy,Dark & Lovely,Sachet,15,82.07,NGN,6,492.42,30.46,False,FALSE,YES,21,REP-NG-240,mobile money,Upper-Middle Income,POS System
TXN100726,21-Dec-2023,Ngeria,Ibadan,FORMAL,Mini-Mart,NG-MIN-5337,Corner MiniMart,Local Brand,Sachet,20,80.63,NGN,2,161.26,14.92,No,No,False,24,REP-NG-288,CASH,Low Income,Field Survey
TXN114348,2023/08/20,ghana,Kumasi,Informal ,Kiosk,GH-KIO-2548,Corner Shop,garnier,Sachet,20,3.75,GHS,11,41.25,1.52,NO,No,0,,REP-GH-200 ,MoMo,Middle Income,POS System
TXN110780,2024-04-06,ghana,Tema,Informal,Kiosk,GH-KIO-6142,Corner Shop,Local Brand,Sachet,15,3.49,GHS,5,17.45,0.48,yes,No,no,15,REP-GH-367,Trade Credit,Upper-Middle Income,Field Survey
TXN105664,2023-08-28,NIGERIA,Benin City,In-formal,Wholesaler,NG-WHO-5517,Trust Wholesalers,CANTU,Sachet Multi-pack,100,352.68,NGN,10,3526.8,45.54,false,NA,false,22,REP-NG-213,Card,Middle Income,Retail Audit
TXN107995,2024-03-14,kenya,  Mombasa  ,Informal ,Wholesaler,KE-WHO-9788,  Coastal Distributors Ltd  ,DarkAndLovely,Sachet Multi-pack,100,42.03,KES,6,252.18,5.38,0,false,Y,32,REP-KE-269,CASH,Lower-Middle Income,POS System
TXN102448,17-Sep-2023,GH,  Tema  ,Informal,Street Vendor,GH-STR-1420,Mobile Vendor ,GARNIER,Sachet Multi-pack,100,12.42,GHS,6,74.52,5.23,N,N/A,FALSE,23,?,Mobile Money,Low Income,Distributor Report
TXN100020,2023-09-11, Nigeria,Benin City,formal,Convenience Store,NG-CON-4841,Zucchini Express,local generic,Sachet,15,-,NGN,2,108.82,1.83,yes,False,True,33,REP-NG-246,CASH,Middle Income,POS System
TXN101308,"April 04, 2023",NIGERIA,null,informal,Market Stall,NG-MAR-6749,Gikomba Stall,motions,Sachet Multi-pack,75,181.12,NGN,9,1630.08,25.8,false,0,N,29,REP-NG-185,Momo,Lower-Middle Income,Distributor Report
TXN106595,2024-01-29,ghana,Cape Coast,Formal,Pharmacy,GH-PHA-7658,HealthPlus Pharmacy,Garnier,Sachet,15,5.45,GHS,1,5.45,0.31,NO,FALSE,false,21,REP-GH-114,Momo,Low Income,Field Survey
TXN106999,21-Nov-2023,Keny a,Kisumu,INFORMAL,Kiosk,KE-KIO-8770,Baraka Kiosk,Amila,Sachet,10,unknown,KES,5,36.3,1.68,yes,False,Yes,35,REP-KE-274,Cash,Low Income,POS System
TXN109164,2024-05-21,nigeria,Benin City,Formal ,Convenience Store,NG-CON-4229,QuickBuy,Garnier Fructis,Sachet,15,66.74,NGN,3,200.22,10.69,No,N,1,,REP-NG-295,Cash,Low Income,POS System
TXN100701,"March 04, 2023", Ghana,Cape Coast,Informal,Kiosk,GH-KIO-2753,Baraka Kiosk ,Amila,Bottle,400,8.5,GHS,6,51.0,3.86,1,Yes,Y,26,REP-GH-432,Cash,Upper-Middle Income,POS System
TXN107689,17/06/2023,KE,Nakuru,Informal ,Street Vendor,KE-STR-9118,Hawker Cart,Garner,Bottle,400,87.99,KES,8,703.92,39.51,-,False,False,32,REP-KE-476,MoMo,Low Income,POS System
TXN115711,21-Aug-2024, Ghana,Tema,Formal,Convenience Store,GH-CON-4968,7 Star Mart,Tresemmé,Sachet,20,4.54,GHS,4,18.16,1.63,NO,False,true,21,REP-GH-154,cash ,Low Income,Field Survey
TXN112942,2024-02-28,NIGERIA,Ibadan ,Formal,Mini-Mart,NG-MIN-9139,Corner MiniMart,dark and lovely,Sachet,10,52.33,NGN,2,104.66,4.83,NO,N,Yes,18,REP-NG-262,cash ,Lower-Middle Income,POS System
TXN111858,06-01-2023,Ghana,Takoradi ,INFORMAL,Open-Air Market,GH-OPE-6371,Kejetia Market Stand,Motions,Sachet Multi-pack,75,8.59,GHS,2,17.18,1.04,-,false,False,16,REP-GH-239,CASH,Middle Income,POS System
TXN102012,13/03/2024,GH,Cape Coast,Informal ,Market Stall,GH-MAR-2770,Gikomba Stall,Amila,Sachet,20,3.24,GHS,10,32.4,2.36,NO,FALSE,1,13,REP-GH-396,Card,Lower-Middle Income,POS System
TXN115411,"May 18, 2024",Kenya,Thika,Informal,Kiosk,KE-KIO-3395,,Amila,Sachet,20ml,8.12,KES,10,81.2,N/A,NO,FALSE,FALSE,48,REP-KE-298,credit,Middle Income,POS System
TXN110803,03-Sep-2024,Ghana,Kumasi ,Informal,Kiosk,GH-KIO-7059,Kwik Stop,Garnier,Bottle,400,11.48,GHS,7,80.36,2.71,No,0,FALSE,17,REP-GH-220,Momo,Low Income,POS System
TXN110999,2024-07-11,Ngeria,Onitsha,Formal,Supermarket,NG-SUP-1844,  Palm Mall  ,Cantu,Sachet,20,134.37,NGN,4,537.48,27.92,,False,N,21,REP-NG-369,card,Lower-Middle Income,POS System
TXN113879,02-Nov-2024,Ghanna,Cape Coast,Informal ,Street Vendor,GH-STR-5649,Mobile Vendor,MOTIONS,Sachet Multi-pack,100,9.77,GHS,8,78.16,4.06,true,FALSE,false,25,REP-GH-421,CASH,Low Income,POS System
TXN100744,01-05-2023,GH,Takoradi,formal,Convenience Store,GH-CON-6361,QuickBuy,amila,Sachet Multi-pack,60,4.59,GHS,3,13.77,0.47,FALSE,NO,0,16,REP-GH-259 ,CASH,Middle Income,POS System
TXN112933,2023/08/02,Ngeria,Kano,Informal ,Open-Air Market,NG-OPE-6457,Muthurwa Vendor,Sunsilk,Sachet,10,59.86,NGN,8,478.88,33.49,False,FALSE,NO,21,REP-NG-334,MoMo,Middle Income,Field Survey
TXN103329,03.07.23,Kenya,  Eldoret  ,Informal ,Market Stall,KE-MAR-4580,Iya Basira Stall,Dark & Lovely,Sachet Multi-pack,75,unknown,KES,6,281.34,2.49,N/A,false,FALSE,28,REP-KE-354,CASH,Upper-Middle Income,Field Survey
TXN116125,2023-03-24,kenya,Kisumu,Informal,Market Stall,KE-MAR-6014,Gikomba Stall,Tresemmé,Bottle,180,131.08,KES,8,1048.64,20.76,N/A,FALSE,0,,REP-KE-417,mobile_money,Lower-Middle Income,Field Survey
TXN108182,2023/10/23,nigeria,Lagos,FORMAL,Supermarket,NG-SUP-2940,Naivas,Motions,Sachet,10,87.18,NGN,5,435.9,9.61,No,N,FALSE,,REP-NG-386,CASH,Low Income,Distributor Report
TXN112728,2023-06-17,GH,Takoradi ,INFORMAL,Kiosk,GH-KIO-2149,  Mama Ngozi Kiosk  ,Cantu,Sachet Multi-pack,75,7.46,GHS,,14.92,?,False,false,1,29,REP-GH-255,Momo,Middle Income,POS System
TXN100866,05-Nov-2023,GH,  Tamale  ,FORMAL,Pharmacy,GH-PHA-7199,Goodlife Pharmacy,garnier,Sachet Multi-pack,60,7.82,GHS,1,7.82,,FALSE,0,YES,28,REP-GH-314,Cash,Low Income,POS System
TXN108261,20/10/2023,Ghanna,Kumasi,Formal ,Supermarket,GH-SUP-9299,Game Stores,Dark and Lovely,Sachet Multi-pack,75,5.92,GHS,2,11.84,1.39,TRUE,0,yes,34,REP-GH-115,cash,Lower-Middle Income,Unknown
TXN114842,2023-11-25,Kenya,Thika,Informal ,Kiosk,KE-KIO-1091,Corner Shop,Sunsilk,Sachet,10,13.59,KES,4,54.36,3.18,FALSE,false,False,43,REP-KE-152,Cash,Low Income,Field Survey
TXN111510,2023-11-08,GH,Tema ,formal,Supermarket,GH-SUP-7335,Melcom,CANTU,Sachet,15,8.07,GHS,1,8.07,N/A,No,No,yes,21,REP-GH-225,cash,Middle Income,Retail Audit
TXN103538,00/00/0000,Ghana,Tamale,Formal,Convenience Store,GH-CON-5454,7 Star Mart,Tresemmé,Sachet,10,5.58,GHS,1,5.58,0.28,YES,0,N,17,REP-GH-370,mobile money,Lower-Middle Income,POS System
TXN105267,2024-07-23,Nigeria ,Kano,Formal ,Convenience Store,NG-CON-8015,QuickBuy,amila,Sachet,10,51.3,NGN,4,205.2,21.6,YES,N,true,28,REP-NG-499,CASH,Lower-Middle Income,POS System
TXN112306,"November 16, 2023",KE,Eldoret ,Informal ,Wholesaler,KE-WHO-8142,Coastal Distributors Ltd,Motions,Sachet Multi-pack,60,22.46,KES,4,89.84,4.18,Unknown,NO,0,43,REP-KE-131,mobile money,Middle Income,Field Survey
TXN115136,2023-01-24,Nigeria ,Lagos,Formal,Supermarket,NG-SUP-3137,  Quickmart  ,GARNIER,Sachet,10,69.32,NGN,2,138.64,unknown,NO,N,1,unknown,  REP-NG-338  ,Mobile Money,Middle Income,Field Survey
TXN109224,30-Sep-2023,KE,Nairobi,INFORMAL,Street Vendor,KE-STR-4922,,Cantu,Bottle,340,246.29,KES,2,492.58,26.64,FALSE,0,0,,REP-KE-142,CASH,Upper-Middle Income,Distributor Report
TXN101242,12/12/2024,ghana,Tema,Informal ,Open-Air Market,GH-OPE-6211,Kejetia Market Stand,Generic Local,Sachet,25,2.68,GHS,8,21.44,0.31,YES,,NO,15,REP-GH-313 ,M-Pesa,Middle Income,POS System
TXN108824,2023-05-11, Kenya,Eldoret,INFORMAL,Street Vendor,KE-STR-3728,Mobile Vendor,GARNIER,Sachet,10,16.9,KES,7,118.3,4.67,false,No,False,28,REP-KE-477,mobile money,Middle Income,POS System
TXN114039,2024-01-13,KE,Nairobi,Formal ,Convenience Store,KE-CON-9133,Zucchini Express,Tresemmé,Sachet,15,25.54,KES,2,51.08,1.15,Yes,NA,no,26,  REP-KE-314  ,CASH,Low Income,POS System
TXN116456,"September 06, 2023",Nigéria,Abuja,FORMAL,Convenience Store,NG-CON-7216,Zucchini Express,GARNIER,Sachet,25,108.15,NGN,2,216.3,8.95,Y,no,,16,REP-NG-272 ,Mobile Money,Middle Income,Field Survey
TXN113375,12-06-2023,Nigéria,Lagos,Formal ,Pharmacy,NG-PHA-6002,HealthPlus Pharmacy,Garnier ,Sachet,20,63.14,NGN,1,63.14,unknown,No,false,NO,30,  REP-NG-272  ,card,Lower-Middle Income,POS System
TXN103455,2023-12-17,Nigeria ,Port Harcourt,formal,Supermarket,NG-SUP-2263,Quickmart,Cantu,Sachet Multi-pack,60,211.62,NGN,3,634.86,50.81,false,no,True,15,  REP-NG-354  ,cash,Low Income,Retail Audit
TXN109331,08/04/2023,kenya,Nakuru,Informal ,Kiosk,KE-KIO-2562,  Corner Shop  ,SUNSILK,Sachet,20,13.75,KES,6,82.5,unknown,False,No,no,27,REP-KE-452,Credit,Lower-Middle Income,Retail Audit
TXN102706,12-18-2023,kenya,  Eldoret  ,Informal,Kiosk,KE-KIO-3977,Blessing Stores,Garnier ,Sachet,25,14.37,KES,9,129.33,4.22,no,0,Y,41,REP-KE-366,M-Pesa,?,Field Survey
TXN112814,23.09.23,GH,Kumasi,informal,Street Vendor,GH-STR-6401,Hawker Cart,Local Generic,Sachet Multi-pack,100,9.86,GHS,2,19.72,N/A,NO,NO,Y,,REP-GH-219,cash ,Middle Income,POS System
TXN113335,2023-03-07,nigeria,Kano,Informal ,Street Vendor,NG-STR-5828,Hawker Cart,Garnier ,Sachet,15,80.98,NGN,7,566.86,57.07,False,FALSE,FALSE,6,REP-NG-346,cash,Upper-Middle Income,POS System
TXN103349,02/06/2023, Ghana,Kumasi,Formal,Convenience Store,GH-CON-2147,QuickBuy,Garner,Sachet,15,5.1,GHS,2,10.2,0.96,false,NO,Yes,7,  REP-GH-204  ,credit,Low Income,POS System
TXN104100,"March 19, 2023",Nigeria,  Abuja  ,Informal ,Street Vendor,NG-STR-1765,  Mobile Vendor  ,garnier,Sachet Multi-pack,60,65.18,NGN,6,391.08,,False,yes,False,15,REP-NG-282,cash,Lower-Middle Income,POS System
TXN108647,2024-10-07, Ghana,  Kumasi  ,FORMAL,Mini-Mart,GH-MIN-8453,EasyBuy Mart,Dark & Lovely,Sachet,20,1.54,USD,6,9.24,0.66,yes,0,true,13,REP-GH-283,cash,Upper-Middle Income,POS System
TXN115107,"October 16, 2024",Nigeria ,Port Harcourt,Formal ,Supermarket,NG-SUP-7291,Palm Mall,cantu,Sachet,25,154.19,NGN,7,1079.33,101.31,false,false,true,16,REP-NG-456 ,CASH,Lower-Middle Income,POS System
TXN114784,28/11/2023,Keny a,Nairobi,informal,Market Stall,KE-MAR-1399,Makola Stall 22,Cantu,Sachet,25,40.97,KES,12,491.64,4.32,false,no,False,42,REP-KE-296,Cash,Low Income,Retail Audit
TXN103155,2024/11/06,Nigeria,Benin City,Informal,Open-Air Market,NG-OPE-9066,  Muthurwa Vendor  ,Tresemme,Sachet,15,160.27,NGN,5,801.35,19.36,0,FALSE,TRUE,22,REP-NG-256,mobile_money,Upper-Middle Income,POS System
TXN105339,2024-05-14,Keny a,Nairobi ,informal,Market Stall,KE-MAR-6347,Stall 14B,Amila,Bottle,180,42.98,KES,4,171.92,10.34,yes,false,1,27,REP-KE-376,N/A,Middle Income,POS System
TXN105532,"December 18, 2023",Nigéria,null,formal,Supermarket,NG-SUP-5535,Game Stores,Local Brand,Sachet Multi-pack,100,118.61,NGN,3,355.83,38.12,,False,0,13,REP-NG-287,CASH,Low Income,Distributor Report
TXN110398,2023/08/20,Nigeria ,Lagos,informal,Market Stall,NG-MAR-1697,Gikomba Stall,GARNIER,Sachet,20,N/A,NGN,3,333.99,28.99,no,False,TRUE,34,REP-NG-430,CARD,Upper-Middle Income,Retail Audit
TXN110205,04-10-2023,GH,Cape Coast,informal,Wholesaler,GH-WHO-2856,Continental Wholesale,TRESEMME,Sachet Multi-pack,100,21.85,GHS,4,87.4,5.58,false,No,YES,25,REP-GH-419,Momo,Low Income,POS System
TXN111152,2023/10/04,Ngeria,Ibadan,Formal ,Pharmacy,NG-PHA-3184,  unknown  ,Garnier ,Bottle,400,478.0,NGN,6,2868.0,170.75,FALSE,0,TRUE,30,REP-NG-458,Mobile Money,Lower-Middle Income,POS System
TXN114523,01-May-2023,Ghanna,Tamale,FORMAL,Mini-Mart,GH-MIN-7088,Corner MiniMart ,Garnier Fructis,Sachet Multi-pack,75,7.99,GHS,1,7.99,0.48,N/A,N,YES,unknown,REP-GH-197,Cash,Lower-Middle Income,POS System
TXN114546,29/11/2023,NIGERIA,Onitsha,In-formal,Market Stall,NG-MAR-6730,Iya Basira Stall,local generic,Sachet Multi-pack,60,92.61,NGN,6,555.66,41.51,N,false,true,19,REP-NG-443,CASH,?,Field Survey
TXN111808,10-15-2024,NIGERIA,Benin City,INFORMAL,Kiosk,NG-KIO-5995,Kwik Stop,cantu,Sachet,15,130.21,NGN,4,520.84,52.12,yes,false,0,34,REP-NG-429,Cash,Low Income,POS System
TXN113638,26.03.24,Kenya ,Thika,formal,Supermarket,KE-SUP-1510,  Game Stores  ,CANTU,Sachet,25,42.56,KES,7,297.92,0.0,False,no,no,64,REP-KE-293,Cash,Middle Income,POS System
TXN114584,2024-04-22,nigeria,Lagos,In-formal,Kiosk,NG-KIO-4848,  Blessing Stores  ,motions,Sachet,15,99.26,NGN,2500,297.78,34.34,yes,NO,yes,28,REP-NG-441,MoMo,Low Income,POS System
TXN111287,11-12-2023,Ghana,Kumasi,Informal,Wholesaler,GH-WHO-5249,Trust Wholesalers,Motions,Sachet Multi-pack,60,4.55,GHS,6,27.3,1.32,no,false,No,33,REP-GH-419,Cash,Middle Income,?
TXN114004,01.11.23,Ghana,Kumasi,In-formal,Open-Air Market,GH-OPE-7981,Balogun Market Vendor ,Dark and Lovely,Sachet,10,4.12,GHS,6,24.72,1.72,N,N,0,26,REP-GH-101,M-Pesa,Middle Income,POS System
TXN114130,23/02/2023, Nigeria,Lagos,informal,Street Vendor,NG-STR-3473,Hawker Cart,garnier,Sachet Multi-pack,100,169.6,NGN,4,678.4,15.61,false,no,Yes,27,REP-NG-411,Momo,Unknown,POS System
TXN108322,2023-08-13,nigeria,Benin City,In-formal,Kiosk,NG-KIO-8119,Baraka Kiosk,AMILA,Sachet Multi-pack,60,72.79,NGN,9,655.11,30.23,yes,Y,True,30,REP-NG-112,mobile_money,Low Income,Field Survey
TXN101270,26/07/2024,KENYA,Nairobi ,Informal,Wholesaler,KE-WHO-9676,?,CANTU,Sachet,20,39.29,KES,5,196.45,?,YES,no,0,42,REP-KE-442 ,credit,Low Income,Distributor Report
TXN101382,2024-01-11,KE,Mombasa,informal,Kiosk,KE-KIO-8467,Baraka Kiosk,TRESemme,Bottle,200,93.14,KES,8,745.12,28.57,0,N,yes,18,REP-KE-381,cash,Upper-Middle Income,Distributor Report
TXN113173,08/03/2023,KENYA,Thika,In-formal,Open-Air Market,KE-OPE-6490,Balogun Market Vendor,garnier,Sachet,20,21.97,KES,6,131.82,3.0,NO,N/A,True,42,REP-KE-352,NULL,unknown,POS System
TXN103254,12-20-2024,Kenya,Kisumu,INFORMAL,Market Stall,KE-MAR-6976,Iya Basira Stall,Garnier,Sachet,25,23.68,KES,4,94.72,2.38,YES,NO,N,38,REP-KE-279,CASH,Low Income,Field Survey
TXN100158,00/00/0000,Nigeria,Abuja,Informal,Open-Air Market,NG-OPE-3018,Kejetia Market Stand,Garner,Sachet Multi-pack,60,163.48,NGN,6,980.88,26.59,False,true,YES,7,REP-NG-424,mobile_money,Lower-Middle Income,Field Survey
TXN103188,2023-05-16,kenya,Nakuru,formal,Pharmacy,KE-PHA-5179,HealthPlus Pharmacy,TRESemme,Bottle,340,0,KES,5,1309.55,0.0,False,no,N,43,REP-KE-220,card,?,Distributor Report
TXN104612,2024-01-27,Nigéria,Abuja,formal,Mini-Mart,NG-MIN-5653,Corner MiniMart,AMILA,Sachet Multi-pack,60,107.79,NGN,7,754.53,57.49,N,NO,FALSE,2,REP-NG-263,Credit,Low Income,Field Survey
TXN101231,11-12-2024,Nigeria ,Port Harcourt,Formal ,Supermarket,NG-SUP-4449,ShopRite,Local Generic,Sachet,15,34.54,NGN,5,172.7,12.95,N,FALSE,No,2,REP-NG-350,Credit (Trade Terms),Middle Income,POS System
TXN102002,2023-07-08,nigeria,Onitsha,In-formal,Open-Air Market,NG-OPE-1074,NULL,garnier,Sachet,20,92.33,NGN,9,830.97,0.0,False,N,yes,43,REP-NG-441 ,cash ,Middle Income,POS System
TXN100097,24-Aug-2024,Keny a,NA,INFORMAL,Open-Air Market,KE-OPE-6435,Kejetia Market Stand,Sunsilk,Sachet,15,11.94,KES,8,95.52,?,no,False,N,17,REP-KE-376,Mobile Money,NA,Retail Audit
TXN112319,01-Aug-2023,Nigéria,Ibadan,In-formal,Street Vendor,NG-STR-2866,Mobile Vendor ,GARNIER,Sachet Multi-pack,75,138.43,NGN,7,969.01,14.31,yess,--,False,31,,?,Middle Income,POS System
TXN102764,2024-04-01, Kenya,Nairobi,Formal ,Supermarket,KE-SUP-1625,Melcom,Sunsilk,Sachet Multi-pack,100,52.1,KES,2,104.2,0.0,NULL,N,NULL,31,REP-KE-424,cash,Low Income,POS System
TXN101559,11/01/2024,Nigéria,Lagos,Informal ,Open-Air Market,NG-OPE-7334,Balogun Market Vendor,garnier,Sachet,20,87.9,NGN,4,351.6,12.01,-,false,YES,22,  REP-NG-324  ,Momo,Lower-Middle Income,Distributor Report
TXN111067,2024-02-13,NIGERIA,Abuja,FORMAL,Mini-Mart,NG-MIN-5659,EasyBuy Mart,TRESEMME,Sachet,25,114.31,NGN,1,114.31,8.31,no,0,Y,25,REP-NG-121,mobile money,Low Income,Distributor Report
TXN103257,09.11.24,nigeria,Onitsha,INFORMAL,Kiosk,NG-KIO-7684,Blessing Stores,Dark & Lovely,Sachet,15,52.16,NGN,7,365.12,22.08,yes,NO,-,19,REP-NG-252 ,Cash,Lower-Middle Income,POS System
TXN113623,2024-07-25, Ghana,Takoradi,formal,Pharmacy,GH-PHA-1534,Goodlife Pharmacy,Tresemme,Sachet,10,2.04,GHS,4,8.16,0.32,No,0,False,28,REP-GH-397,MoMo,Low Income,Distributor Report
TXN109927,09-07-2023,Ghana ,Takoradi,formal,Convenience Store,GH-CON-4561,Zucchini Express,garnier,Sachet,15,1.39,GHS,3,4.17,0.39,0,No,NO,10,REP-GH-113,mobile money,Middle Income,POS System
